sale_line_id,sale_date,store_id,product_id,quantity,unit_price,promotion_code,payment_method,product_name,category,store_name,city,region,discount_rate,gross_sales,discount_amount,net_sales,year,month,week,day_name
L00001,2026-04-04,S01,P010,1,115000.0,NONE,Card,Ergonomic Mouse,Home & Office,Cali Norte,Cali,Southwest,0.0,115000.0,0.0,115000.0,2026,4,14,Saturday
L00002,2026-02-08,S01,P012,1,35000.0,NONE,Cash,Notebook Pack,Home & Office,Cali Norte,Cali,Southwest,0.0,35000.0,0.0,35000.0,2026,2,6,Sunday
L00003,2026-04-04,S01,P003,3,175000.0,NONE,Cash,Blender 500W,Small Appliances,Cali Norte,Cali,Southwest,0.0,525000.0,0.0,525000.0,2026,4,14,Saturday
L00004,2026-03-29,S01,P001,1,145000.0,NONE,Cash,Coffee Maker Basic,Small Appliances,Cali Norte,Cali,Southwest,0.0,145000.0,0.0,145000.0,2026,3,13,Sunday
L00005,2026-02-27,S01,P004,1,390000.0,NONE,Cash,Air Fryer 4L,Small Appliances,Cali Norte,Cali,Southwest,0.0,390000.0,0.0,390000.0,2026,2,9,Friday
L00006,2026-04-04,S01,P005,2,220000.0,NONE,Card,Wireless Headphones,Electronics,Cali Norte,Cali,Southwest,0.0,440000.0,0.0,440000.0,2026,4,14,Saturday
L00007,2026-03-27,S01,P003,2,175000.0,NONE,Transfer,Blender 500W,Small Appliances,Cali Norte,Cali,Southwest,0.0,350000.0,0.0,350000.0,2026,3,13,Friday
L00008,2026-04-27,S01,P007,2,310000.0,PROMO10B,Cash,Smartwatch Active,Electronics,Cali Norte,Cali,Southwest,0.1,620000.0,620.0,619380.0,2026,4,18,Monday
L00009,2026-02-20,S01,P008,1,78000.0,NONE,Cash,USB-C Charger,Electronics,Cali Norte,Cali,Southwest,0.0,78000.0,0.0,78000.0,2026,2,8,Friday
L00010,2026-04-06,S01,P008,2,78000.0,NONE,Card,USB-C Charger,Electronics,Cali Norte,Cali,Southwest,0.0,156000.0,0.0,156000.0,2026,4,15,Monday
L00012,2026-02-03,S01,P010,3,115000.0,NONE,Transfer,Ergonomic Mouse,Home & Office,Cali Norte,Cali,Southwest,0.0,345000.0,0.0,345000.0,2026,2,6,Tuesday
L00013,2026-04-20,S01,P012,1,35000.0,NONE,Cash,Notebook Pack,Home & Office,Cali Norte,Cali,Southwest,0.0,35000.0,0.0,35000.0,2026,4,17,Monday
L00014,2026-02-17,S01,P007,1,310000.0,NONE,Transfer,Smartwatch Active,Electronics,Cali Norte,Cali,Southwest,0.0,310000.0,0.0,310000.0,2026,2,8,Tuesday
L00015,2026-02-16,S01,P014,2,198000.0,NONE,Cash,Electric Shaver,Personal Care,Cali Norte,Cali,Southwest,0.0,396000.0,0.0,396000.0,2026,2,8,Monday
L00016,2026-04-03,S01,P011,1,138000.0,NONE,Transfer,Keyboard Compact,Home & Office,Cali Norte,Cali,Southwest,0.0,138000.0,0.0,138000.0,2026,4,14,Friday
L00017,2026-04-20,S01,P010,1,115000.0,NONE,Transfer,Ergonomic Mouse,Home & Office,Cali Norte,Cali,Southwest,0.0,115000.0,0.0,115000.0,2026,4,17,Monday
L00018,2026-03-28,S01,P007,2,310000.0,NONE,Card,Smartwatch Active,Electronics,Cali Norte,Cali,Southwest,0.0,620000.0,0.0,620000.0,2026,3,13,Saturday
L00019,2026-02-28,S01,P013,1,135000.0,NONE,Cash,Hair Dryer,Personal Care,Cali Norte,Cali,Southwest,0.0,135000.0,0.0,135000.0,2026,2,9,Saturday
L00020,2026-03-22,S01,P013,1,135000.0,NONE,Transfer,Hair Dryer,Personal Care,Cali Norte,Cali,Southwest,0.0,135000.0,0.0,135000.0,2026,3,12,Sunday
L00021,2026-02-08,S01,P010,1,115000.0,NONE,Card,Ergonomic Mouse,Home & Office,Cali Norte,Cali,Southwest,0.0,115000.0,0.0,115000.0,2026,2,6,Sunday
L00022,2026-04-03,S01,P004,1,390000.0,NONE,Card,Air Fryer 4L,Small Appliances,Cali Norte,Cali,Southwest,0.0,390000.0,0.0,390000.0,2026,4,14,Friday
L00023,2026-04-07,S01,P010,2,115000.0,NONE,Cash,Ergonomic Mouse,Home & Office,Cali Norte,Cali,Southwest,0.0,230000.0,0.0,230000.0,2026,4,15,Tuesday
L00024,2026-03-12,S01,P004,1,390000.0,NONE,Transfer,Air Fryer 4L,Small Appliances,Cali Norte,Cali,Southwest,0.0,390000.0,0.0,390000.0,2026,3,11,Thursday
L00025,2026-04-02,S01,P013,2,135000.0,NONE,Cash,Hair Dryer,Personal Care,Cali Norte,Cali,Southwest,0.0,270000.0,0.0,270000.0,2026,4,14,Thursday
L00026,2026-04-30,S01,P004,2,390000.0,NONE,Transfer,Air Fryer 4L,Small Appliances,Cali Norte,Cali,Southwest,0.0,780000.0,0.0,780000.0,2026,4,18,Thursday
L00027,2026-02-10,S01,P008,1,78000.0,NONE,Cash,USB-C Charger,Electronics,Cali Norte,Cali,Southwest,0.0,78000.0,0.0,78000.0,2026,2,7,Tuesday
L00028,2026-04-24,S01,P008,1,78000.0,NONE,Transfer,USB-C Charger,Electronics,Cali Norte,Cali,Southwest,0.0,78000.0,0.0,78000.0,2026,4,17,Friday
L00029,2026-03-01,S01,P013,2,135000.0,NONE,Card,Hair Dryer,Personal Care,Cali Norte,Cali,Southwest,0.0,270000.0,0.0,270000.0,2026,3,9,Sunday
L00030,2026-03-28,S01,P007,1,310000.0,NONE,Card,Smartwatch Active,Electronics,Cali Norte,Cali,Southwest,0.0,310000.0,0.0,310000.0,2026,3,13,Saturday
L00031,2026-02-12,S01,P010,3,115000.0,NONE,Card,Ergonomic Mouse,Home & Office,Cali Norte,Cali,Southwest,0.0,345000.0,0.0,345000.0,2026,2,7,Thursday
L00032,2026-03-23,S01,P006,1,165000.0,NONE,Card,Bluetooth Speaker,Electronics,Cali Norte,Cali,Southwest,0.0,165000.0,0.0,165000.0,2026,3,13,Monday
L00033,2026-02-26,S01,P002,2,285000.0,NONE,Transfer,Coffee Maker Premium,Small Appliances,Cali Norte,Cali,Southwest,0.0,570000.0,0.0,570000.0,2026,2,9,Thursday
L00034,2026-02-12,S01,P012,1,35000.0,NONE,Card,Notebook Pack,Home & Office,Cali Norte,Cali,Southwest,0.0,35000.0,0.0,35000.0,2026,2,7,Thursday
L00035,2026-02-26,S01,P004,2,390000.0,NONE,Cash,Air Fryer 4L,Small Appliances,Cali Norte,Cali,Southwest,0.0,780000.0,0.0,780000.0,2026,2,9,Thursday
L00036,2026-02-05,S01,P012,2,35000.0,NONE,Card,Notebook Pack,Home & Office,Cali Norte,Cali,Southwest,0.0,70000.0,0.0,70000.0,2026,2,6,Thursday
L00037,2026-04-01,S01,P004,1,390000.0,NONE,Transfer,Air Fryer 4L,Small Appliances,Cali Norte,Cali,Southwest,0.0,390000.0,0.0,390000.0,2026,4,14,Wednesday
L00038,2026-02-21,S01,P010,2,115000.0,NONE,Cash,Ergonomic Mouse,Home & Office,Cali Norte,Cali,Southwest,0.0,230000.0,0.0,230000.0,2026,2,8,Saturday
L00039,2026-04-25,S01,P006,1,165000.0,NONE,Transfer,Bluetooth Speaker,Electronics,Cali Norte,Cali,Southwest,0.0,165000.0,0.0,165000.0,2026,4,17,Saturday
L00040,2026-04-05,S01,P001,2,145000.0,NONE,Transfer,Coffee Maker Basic,Small Appliances,Cali Norte,Cali,Southwest,0.0,290000.0,0.0,290000.0,2026,4,14,Sunday
L00041,2026-04-10,S01,P008,2,78000.0,NONE,Card,USB-C Charger,Electronics,Cali Norte,Cali,Southwest,0.0,156000.0,0.0,156000.0,2026,4,15,Friday
L00042,2026-03-09,S01,P013,1,135000.0,NONE,Card,Hair Dryer,Personal Care,Cali Norte,Cali,Southwest,0.0,135000.0,0.0,135000.0,2026,3,11,Monday
L00043,2026-02-20,S01,P001,3,145000.0,PROMO10,Card,Coffee Maker Basic,Small Appliances,Cali Norte,Cali,Southwest,0.1,435000.0,435.0,434565.0,2026,2,8,Friday
L00044,2026-02-21,S01,P013,1,135000.0,NONE,Transfer,Hair Dryer,Personal Care,Cali Norte,Cali,Southwest,0.0,135000.0,0.0,135000.0,2026,2,8,Saturday
L00045,2026-04-03,S01,P014,1,198000.0,NONE,Cash,Electric Shaver,Personal Care,Cali Norte,Cali,Southwest,0.0,198000.0,0.0,198000.0,2026,4,14,Friday
L00046,2026-02-04,S01,P008,1,78000.0,NONE,Cash,USB-C Charger,Electronics,Cali Norte,Cali,Southwest,0.0,78000.0,0.0,78000.0,2026,2,6,Wednesday
L00047,2026-04-26,S01,P009,2,92000.0,NONE,Transfer,Desk Lamp LED,Home & Office,Cali Norte,Cali,Southwest,0.0,184000.0,0.0,184000.0,2026,4,17,Sunday
L00048,2026-04-23,S01,P009,1,92000.0,NONE,Transfer,Desk Lamp LED,Home & Office,Cali Norte,Cali,Southwest,0.0,92000.0,0.0,92000.0,2026,4,17,Thursday
L00049,2026-02-01,S01,P003,1,175000.0,NONE,Cash,Blender 500W,Small Appliances,Cali Norte,Cali,Southwest,0.0,175000.0,0.0,175000.0,2026,2,5,Sunday
