sale_line_id,sale_date,store_id,product_id,quantity,unit_price,promotion_code,payment_method
L00001,2026-04-04,S01,P010,1,115000,,Card
L00002,2026-02-08,S01,P012,1,35000,,Cash
L00003,2026-04-04,S01,P003,3,175000,,Cash
L00004,2026-03-29,S01,P001,1,145000,,Cash
L00005,2026-02-27,S01,P004,1,390000,,Cash
L00006,2026-04-04,S01,P005,2,220000,,Card
L00007,2026-03-27,S01,P003,2,175000,,Transfer
L00008,2026-04-27,S01,P007,2,310000,PROMO10B,Cash
L00009,2026-02-20,S01,P008,1,78000,,Cash
L00010,2026-04-06,S01,P008,2,78000,,Card
L00011,2026-02-07,S01,P010,0,115000,,Cash
L00012,2026-02-03,S01,P010,3,115000,,Transfer
L00013,2026-04-20,S01,P012,1,35000,,Cash
L00014,2026-02-17,S01,P007,1,310000,,Transfer
L00015,2026-02-16,S01,P014,2,198000,,Cash
L00016,2026-04-03,S01,P011,1,138000,,Transfer
L00017,2026-04-20,S01,P010,1,115000,,Transfer
L00018,2026-03-28,S01,P007,2,310000,,Card
L00019,2026-02-28,S01,P013,1,135000,,Cash
L00020,2026-03-22,S01,P013,1,135000,,Transfer
L00021,2026-02-08,S01,P010,1,115000,,Card
L00022,2026-04-03,S01,P004,1,390000,,Card
L00023,2026-04-07,S01,P010,2,115000,,Cash
L00024,2026-03-12,S01,P004,1,390000,,Transfer
L00025,2026-04-02,S01,P013,2,135000,,Cash
L00026,2026-04-30,S01,P004,2,390000,,Transfer
L00027,2026-02-10,S01,P008,1,78000,,Cash
L00028,2026-04-24,S01,P008,1,78000,,Transfer
L00029,2026-03-01,S01,P013,2,135000,,Card
L00030,2026-03-28,S01,P007,1,310000,,Card
L00031,2026-02-12,S01,P010,3,115000,,Card
L00032,2026-03-23,S01,P006,1,165000,,Card
L00033,2026-02-26,S01,P002,2,285000,,Transfer
L00034,2026-02-12,S01,P012,1,35000,,Card
L00035,2026-02-26,S01,P004,2,390000,,Cash
L00036,2026-02-05,S01,P012,2,35000,,Card
L00037,2026-04-01,S01,P004,1,390000,,Transfer
L00038,2026-02-21,S01,P010,2,115000,,Cash
L00039,2026-04-25,S01,P006,1,165000,,Transfer
L00040,2026-04-05,S01,P001,2,145000,,Transfer
L00041,2026-04-10,S01,P008,2,78000,, card 
L00042,2026-03-09,S01,P013,1,135000,,Card
L00043,2026-02-20,S01,P001,3,145000,PROMO10,Card
L00044,2026-02-21,S01,P013,1,135000,,Transfer
L00045,2026-04-03,S01,P014,1,198000,,Cash
L00046,2026-02-04,S01,P008,1,78000,,Cash
L00047,2026-04-26,S01,P009,2,92000,,Transfer
L00048,2026-04-23,S01,P009,1,92000,,Transfer
L00049,2026-02-01,S01,P003,1,175000,,Cash
L00050,2026-04-02,S01,P014,1,198000,,Card
L00051,2026-03-18,S01,P005,1,220000,PROMO12,Transfer
L00052,2026-02-28,S01,P010,1,115000,,Card
L00053,2026-04-01,S01,P008,1,78000,,Transfer
L00054,2026-04-02,S01,P003,2,175000,,Transfer
L00055,2026-03-25,S01,P005,1,220000,PROMO12,Card
L00056,2026-03-14,S01, P005 ,1,165000,,Transfer
L00057,2026-03-28,S01,P005,2,220000,,Cash
L00058,2026-04-03,S01,P008,3,78000,,Cash
L00059,2026-03-27,S01,P012,1,35000,,Transfer
L00060,2026-03-25,S01,P010,1,115000,,Cash
L00061,2026-04-09,S01,P005,1,220000,,Transfer
L00062,2026-02-12,S01,P004,2,390000,,Cash
L00063,2026-02-25,S01,P002,1,285000,,Cash
L00064,2026-03-05,S01,P001,1,145000,,Cash
L00065,2026-02-19,S01,P005,1,220000,,Card
L00066,2026-03-06,S01,P008,1,78000,,Card
L00067,2026-03-22,S01,P003,3,175000,,Cash
L00068,2026-02-12,S01,P002,1,285000,,Transfer
L00069,2026-03-13,S01,P010,1,115000,,Cash
L00070,2026-03-26,S01,P005,1,220000,,Cash
L00071,2026-04-23,S01,P009,1,92000,,Cash
L00072,2026-02-07,S01,P005,1,220000,,Transfer
L00073,2026-02-10,S01,P008,1,78000,,Transfer
L00074,2026-02-12,S01,P012,2,35000,,Cash
L00075,2026-03-05,S01,P012,3,35000,,Cash
L00076,2026-04-24,S01,P010,1,115000,,Cash
L00077,2026-02-14,S01,P014,2,198000,,Card
L00078,2026-04-01,S01,P004,3,390000,,Card
L00079,2026-03-30,S01,P012,1,35000,,Cash
L00080,2026-03-26,S01,P003,2,175000,,Card
L00081,2026-03-02,S01,P010,1,115000,,Transfer
L00082,2026-02-06,S01,P001,3,145000,,Card
L00083,2026-03-14,S01,P015,2,86000,,Card
L00084,2026-03-14,S01,P007,1,310000,,Transfer
L00085,2026-02-09,S01,P012,1,35000,,Card
L00086,2026-02-25,S01,P005,2,220000,,Card
L00087,2026-03-04,S01,P010,2,115000,,Card
L00088,2026-02-21,S01,P005,1,220000,,Card
L00089,2026-04-08,S01,P004,1,390000,,Transfer
L00090,2026-03-29,S01,P010,1,115000,,Transfer
L00091,2026-02-03,S01,P007,1,310000,,Cash
L00092,2026-04-08,S01,P013,2,135000,,Cash
L00093,2026-03-16,S01,P003,2,175000,,Cash
L00094,2026-02-14,S01,P005,1,220000,,Transfer
L00095,2026-04-25,S01,P015,1,86000,,Card
L00096,2026-04-02,S01,P009,3,92000,,Cash
L00097,2026-03-09,S01,P013,2,135000,,Cash
L00098,2026-02-04,S01,P005,1,220000,,Cash
L00099,2026-03-02,S01,P001,1,145000,,Card
L00100,2026-04-26,S01,P012,2,35000,,Cash
L00101,2026-02-24,S01,P005,1,220000,,Cash
L00102,2026-03-12,S01,P005,2,220000,,Transfer
L00103,2026-04-02,S01,P015,1,86000,,Transfer
L00104,2026-03-23,S01,P010,3,115000,,Card
L00105,2026-02-28,S01,P005,1,220000,,Transfer
L00106,2026-03-31,S01,P013,3,135000,,Cash
L00107,2026-03-08,S01,P010,2,115000,,Card
L00108,2026-04-11,S01,P007,2,310000,,Card
L00109,2026-03-20,S01,P013,2,135000,,Card
L00110,2026-03-15,S01,P002,1,285000,,Transfer
L00111,2026-02-27,S01,P003,1,175000,,Cash
L00112,2026-04-17,S01,P011,1,138000,,Transfer
L00113,2026-04-15,S01,P013,1,135000,,Transfer
L00114,2026-03-04,S01,P008,2,78000,,Card
L00115,2026-02-02,S01,P008,2,78000,,Cash
L00116,2026-02-25,S01,P004,1,390000,,Transfer
L00117,2026-03-08,S01,P001,1,145000,,Cash
L00118,2026-04-22,S01,P005,3,220000,,Card
L00119,2026-04-21,S01,P006,2,165000,,Cash
L00120,2026-02-22,S01,P010,4,115000,,Card
L00121,2026-04-30,S01,P003,1,175000,,Transfer
L00122,2026-03-10,S01,P006,1,165000,,Transfer
L00123,2026-04-23,S01,P010,3,115000,,Cash
L00124,2026-03-02,S01,P002,3,285000,,Cash
L00125,2026-03-13,S01,P001,2,145000,,Transfer
L00126,2026-03-15,S01,P015,2,86000,,Card
L00127,2026-02-27,S01,P012,1,35000,,Cash
L00128,2026-04-10,S01,P005,2,220000,,Card
L00129,2026-04-28,S01,P005,1,220000,,Transfer
L00130,2026-03-15,S01,P003,1,175000,,Transfer
L00131,2026-02-26,S01,P001,1,145000,PROMO10,Transfer
L00132,2026-03-06,S01,P008,1,78000,,Transfer
L00133,2026-04-08,S01,P010,2,115000,,Card
L00134,2026-03-23,S01,P015,2,86000,,Cash
L00135,2026-02-08,S01,P009,2,92000,,Cash
L00136,2026-04-16,S01,P009,1,92000,,Card
L00137,2026-02-25,S01,P011,3,138000,,Cash
L00138,2026-03-19,S01,P001,1,145000,,Transfer
L00139,2026-03-07,S01,P004,1,390000,PROMO15,Cash
